PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Deck,Num,Side
0069_01,0,0,2,42,0,1,5,16,1
0070_01,0,0,2,19,0,0,5,13,0
0071_01,0,0,2,17,0,0,5,14,0
0072_01,0,0,2,14,0,0,5,17,1
0073_01,2,0,1,37,0,0,3,3,0
0074_01,1,0,2,42,0,1,2,3,1
0076_01,2,0,2,27,0,1,5,18,1
0077_01,2,0,2,28,0,1,5,15,0
0078_01,1,0,2,38,0,0,2,4,1
0081_01,0,1,2,13,0,0,6,13,1
0082_01,2,0,2,42,0,0,5,16,0
0082_02,2,1,2,2,0,1,5,16,0
0082_03,2,0,2,8,0,1,5,16,0
0084_01,0,0,2,24,0,1,6,14,1
0085_01,1,1,2,40,0,1,2,5,1
0086_01,0,0,2,43,0,0,5,17,0
0088_01,2,1,1,45,0,1,4,5,1
0090_01,0,1,2,35,0,1,6,15,1
0091_01,0,1,2,26,0,1,6,16,1
0091_02,0,0,2,27,0,0,5,20,1
0092_01,0,0,2,19,0,0,6,9,0
0092_02,0,1,2,0,0,1,6,9,0
0092_03,0,1,2,3,0,1,6,9,0
0097_01,1,0,2,54,0,0,0,2,1
0098_01,0,0,2,26,0,0,6,11,0
0098_02,0,0,2,26,0,1,6,11,0
0099_01,0,0,1,23,0,0,5,19,0
0099_02,0,0,2,2,0,1,6,12,0
0101_01,2,1,2,31,0,1,5,82,1
0102_01,0,0,2,18,0,0,5,23,1
0103_01,0,0,2,24,0,1,5,24,1
0103_02,0,1,0,9,0,1,6,18,1
0103_03,0,1,2,6,0,0,6,18,1
0105_01,0,0,2,27,0,0,5,21,0
0107_01,2,0,2,21,0,0,3,2,1
0108_01,0,1,2,23,0,0,6,19,1
0108_02,0,0,2,31,0,0,6,19,1
0108_03,0,0,2,0,0,1,6,19,1
0110_01,1,0,2,32,0,0,5,82,1
0110_02,1,0,2,40,0,0,1,5,0
0110_03,1,0,2,42,0,1,1,5,0
0110_04,1,1,2,28,0,1,1,5,0
0111_01,1,1,2,29,0,1,4,6,1
0112_01,1,0,0,48,1,1,1,1,1
0113_01,0,0,2,64,0,1,5,23,0
0114_01,0,0,2,27,0,0,6,20,1
0115_01,2,0,2,26,0,1,5,24,0
0116_01,1,0,2,33,0,1,3,4,0
0119_01,0,0,2,39,0,0,0,0,0
0119_02,1,1,2,13,0,1,0,0,0
0120_01,2,1,2,24,0,1,5,25,0
0122_01,0,0,2,29,0,0,6,21,1
0123_01,0,0,2,18,0,0,5,27,0
0126_01,2,1,2,67,0,1,5,27,1
0127_01,2,0,2,35,0,0,4,7,1
0128_01,2,0,2,61,1,0,3,3,1
0128_02,2,0,2,45,0,0,4,8,1
0129_01,0,1,1,22,0,1,6,22,1
0133_01,2,1,2,19,0,1,5,29,1
0133_02,2,0,2,36,0,0,3,5,1
0134_01,0,0,2,19,0,1,6,17,0
0136_01,0,0,1,47,0,0,6,23,1
0138_01,0,1,2,13,0,1,6,18,0
0138_02,0,0,2,34,0,0,4,5,0
0139_01,1,1,0,35,0,1,2,6,1
0140_01,0,1,2,24,0,1,6,19,0
0140_02,0,0,2,26,0,0,5,29,0
0141_01,2,0,2,31,0,0,5,30,0
0144_01,0,0,2,20,0,1,5,31,1
0146_01,0,0,2,56,0,0,6,25,1
0147_01,0,1,2,50,0,1,6,26,1
0148_01,2,0,2,42,0,0,5,31,0
0149_01,0,1,0,27,0,1,6,27,1
0151_01,0,1,0,38,0,0,6,20,0
0152_01,0,0,2,41,0,0,5,32,0
0160_01,0,0,2,22,0,0,6,22,0
0163_01,1,1,2,26,0,1,1,8,0
0163_02,1,1,2,17,0,1,1,8,0
0164_01,0,0,2,57,0,1,6,28,1
0164_02,0,1,1,17,0,0,6,28,1
0165_01,2,1,2,35,0,1,5,37,0
0167_01,2,1,2,13,0,1,5,35,1
0167_02,2,0,2,27,0,0,5,35,1
0169_01,0,1,2,31,0,0,6,23,0
0170_01,0,0,2,24,0,0,4,10,1
0171_01,0,1,1,19,0,1,6,30,1
0172_01,0,1,2,32,0,1,6,24,0
0173_01,0,0,2,58,0,1,4,11,1
0174_01,0,0,0,21,0,0,5,38,0
0177_01,1,0,2,38,0,0,1,2,1
0178_01,2,0,2,38,0,0,3,6,1
0179_01,0,0,2,19,0,1,6,26,0
0179_02,0,0,2,0,0,0,6,26,0
0179_03,0,0,2,3,0,1,6,26,0
0181_01,0,0,2,20,0,0,6,27,0
0182_01,1,1,2,24,0,1,2,3,0
0183_01,0,0,2,37,0,1,5,36,1
0186_01,0,0,2,25,0,0,6,28,0
0188_01,0,1,2,56,0,1,6,31,1
0189_01,0,0,0,49,0,0,4,8,0
0190_01,0,1,0,11,0,0,6,32,1
0192_01,0,1,2,1,0,1,6,29,0
0192_02,0,0,2,8,0,0,6,29,0
0192_03,0,0,2,39,0,0,6,29,0
0193_01,2,1,2,2,0,1,5,41,0
0193_02,2,0,2,23,0,0,5,41,0
0193_03,2,0,2,0,0,1,5,41,0
0195_01,2,0,2,39,0,1,5,42,0
0196_01,2,0,1,25,0,0,3,5,0
0197_01,1,0,2,36,0,0,2,5,0
0198_01,0,0,1,52,0,1,6,30,0
0199_01,0,1,2,18,0,0,6,33,1
0200_01,0,1,2,15,0,1,6,31,0
0201_01,1,1,2,35,0,1,1,3,1
0201_02,1,1,2,47,0,1,1,3,1
0202_01,1,1,0,45,0,1,1,9,0
0202_02,1,0,0,27,0,1,0,2,0
0203_01,1,1,2,51,0,1,2,8,1
0205_01,0,0,2,29,0,0,6,34,1
0206_01,1,0,0,27,0,1,2,9,1
0207_01,0,1,1,19,0,0,6,32,0
0210_01,0,1,0,24,0,1,3,6,0
0211_01,2,0,2,29,0,1,5,44,0
0211_02,2,1,2,11,0,1,5,44,0
0211_03,2,0,2,17,0,0,5,44,0
0212_01,0,0,2,13,0,0,4,9,0
0212_02,0,0,2,35,0,0,5,45,0
0213_01,0,0,2,21,0,0,5,46,0
0216_01,0,0,0,21,0,0,5,40,1
0217_01,0,0,2,38,0,0,5,47,0
0219_01,0,1,2,19,0,1,6,36,0
0220_01,0,1,2,2,0,1,6,37,0
0220_02,0,0,2,0,0,1,6,37,0
0220_03,0,1,2,13,0,0,6,37,0
0220_04,0,0,2,25,0,0,4,10,0
0220_05,0,0,2,16,0,0,5,48,0
0220_06,0,0,0,1,0,0,6,37,0
0220_07,0,1,2,15,0,1,6,37,0
0221_01,2,0,0,21,0,0,4,13,1
0221_02,2,0,2,23,0,0,4,13,1
0221_03,2,0,2,33,0,0,4,13,1
0221_04,2,1,2,21,0,1,4,13,1
0221_05,2,0,2,41,0,0,4,13,1
0221_06,2,0,2,16,0,0,4,13,1
0221_07,2,1,2,42,0,0,4,13,1
0222_01,2,0,2,20,0,0,5,41,1
0222_02,2,1,2,24,0,1,5,41,1
0222_03,2,1,2,16,0,1,4,14,1
0223_01,0,0,2,21,0,0,6,35,1
0224_01,2,0,2,32,1,0,5,42,1
0225_01,0,1,1,58,0,1,6,38,0
0229_01,0,0,2,24,0,0,5,43,1
0231_01,2,0,2,30,0,0,5,44,1
0232_01,0,1,1,27,0,0,6,36,1
0233_01,2,0,2,32,0,0,5,45,1
0234_01,0,0,2,43,0,0,5,50,0
0237_01,1,1,2,42,0,1,1,11,0
0239_01,2,0,2,37,0,0,5,82,1
0240_01,2,1,2,35,0,1,5,52,0
0241_01,1,0,0,33,0,0,4,11,0
0242_01,0,0,2,18,0,0,5,46,1
0243_01,0,1,2,21,0,0,6,37,1
0244_01,2,1,2,43,0,1,5,82,1
0244_02,2,1,0,14,0,1,5,47,1
0245_01,1,0,0,46,0,1,2,6,0
0245_02,1,0,2,33,0,0,2,6,0
0246_01,2,0,2,21,0,0,3,8,0
0248_01,1,0,2,33,0,0,2,10,1
0250_01,0,1,1,47,0,0,6,38,1
0251_01,0,1,0,54,0,1,2,11,1
0252_01,0,0,2,30,0,0,5,53,0
0253_01,0,0,2,29,0,0,6,42,0
0254_01,0,0,2,21,0,1,5,54,0
0255_01,1,1,2,24,0,1,0,3,1
0257_01,2,0,0,21,0,0,5,49,1
0257_02,2,1,2,60,0,1,5,49,1
0258_01,0,0,2,22,0,0,5,50,1
0260_01,1,0,2,26,0,0,4,16,1
0261_01,0,0,2,26,0,0,5,56,0
0263_01,0,1,2,28,0,1,6,43,0
0265_01,1,1,2,39,0,1,3,8,1
0267_01,0,0,2,13,0,0,5,51,1
0269_01,0,0,0,47,0,1,5,52,1
0270_01,0,0,2,63,0,0,5,59,0
0275_01,1,1,0,27,0,1,3,9,1
0277_01,0,0,0,50,0,1,5,61,0
0278_01,0,0,2,35,0,0,5,82,1
0278_02,0,0,2,45,0,0,6,45,0
0281_01,0,0,2,19,0,1,5,63,0
0282_01,0,0,2,21,0,1,5,54,1
0283_01,0,1,1,29,0,1,6,46,0
0283_02,0,0,2,22,0,1,5,64,0
0285_01,1,1,2,14,0,1,4,16,0
0285_02,1,1,0,42,0,1,4,16,0
0286_01,0,0,0,57,0,0,5,65,0
0287_01,1,1,0,39,0,1,5,82,1
0287_02,1,0,2,28,0,0,1,12,0
0288_01,0,0,0,19,0,0,5,55,1
0289_01,1,1,0,19,0,1,2,12,1
0290_01,1,0,0,26,0,1,1,7,1
0290_02,1,1,2,17,0,1,1,7,1
0290_03,1,0,2,43,0,1,1,7,1
0290_04,1,0,0,9,0,1,1,7,1
0291_01,1,0,2,40,0,1,3,10,1
0294_01,1,1,2,50,0,1,1,8,1
0297_01,0,0,2,24,0,1,6,47,0
0298_01,1,1,0,57,0,1,0,3,0
0301_01,0,1,2,16,0,0,5,82,1
0302_01,0,0,2,23,0,0,5,67,0
0303_01,0,1,2,23,0,1,6,41,1
0304_01,1,0,2,28,0,0,4,18,1
0305_01,1,0,0,23,0,0,2,7,0
0306_01,0,0,2,23,0,0,4,19,1
0307_01,0,0,2,18,0,1,5,59,1
0309_01,0,0,2,18,0,0,5,60,1
0310_01,1,0,2,67,0,0,5,82,1
0313_01,0,0,1,60,0,1,5,68,0
0313_02,0,1,0,27,0,1,6,50,0
0313_03,0,0,0,49,0,1,5,68,0
0313_04,0,0,0,0,0,1,6,50,0
0314_01,0,0,0,26,0,0,6,51,0
0315_01,0,1,1,35,0,1,6,42,1
0316_01,1,0,2,24,0,1,1,9,1
0316_02,1,1,2,20,0,1,1,9,1
0320_01,0,0,2,18,0,0,6,44,1
0320_02,0,0,2,21,0,0,6,44,1
0321_01,0,0,2,59,1,0,5,61,1
0322_01,0,1,1,13,0,0,6,45,1
0324_01,0,1,0,43,0,0,6,53,0
0326_01,0,1,2,29,0,0,6,47,1
0327_01,0,0,2,19,0,1,5,82,1
0330_01,1,0,2,2,0,1,2,14,1
0330_02,1,0,2,32,0,1,2,14,1
0330_03,1,0,2,33,0,0,2,14,1
0331_01,0,0,2,25,0,0,5,72,0
0333_01,2,1,0,29,0,1,5,73,0
0334_01,2,0,2,29,0,0,5,62,1
0336_01,0,0,2,44,0,0,5,74,0
0337_01,2,1,0,2,0,1,5,63,1
0337_02,2,0,2,19,0,1,5,63,1
0337_03,2,0,0,0,0,1,5,63,1
0338_01,0,1,2,18,0,1,6,48,1
0340_01,1,1,0,38,0,1,1,10,1
0341_01,0,1,1,5,0,0,6,57,0
0343_01,0,0,1,31,0,0,5,76,0
0345_01,2,1,2,30,0,0,4,21,1
0346_01,0,1,0,15,0,1,6,59,0
0347_01,2,0,2,27,0,0,5,64,1
0348_01,2,0,2,22,0,1,3,12,0
0348_02,2,0,2,36,0,1,5,82,1
0350_01,0,1,1,14,0,1,6,60,0
0352_01,2,0,2,23,0,0,5,78,0
0355_01,0,1,2,18,0,1,5,82,1
0356_01,1,1,0,36,0,1,1,15,0
0357_01,0,0,2,41,0,0,5,65,1
0358_01,0,1,2,50,0,1,6,50,1
0358_02,0,1,1,32,0,1,6,50,1
0359_01,0,0,1,26,0,0,5,66,1
0360_01,0,0,2,15,0,0,5,67,1
0361_01,0,0,0,33,0,1,5,68,1
0365_01,0,0,0,27,0,0,6,51,1
0368_01,2,0,2,26,0,0,5,82,0
0368_02,2,1,2,61,0,1,5,82,0
0369_01,0,0,2,24,0,1,6,53,1
0370_01,0,0,2,30,0,0,5,83,0
0371_01,2,1,2,24,0,1,5,84,0
0372_01,0,0,2,24,0,0,5,85,0
0373_01,0,1,2,41,0,0,6,62,0
0375_01,0,0,2,20,0,0,4,22,0
0376_01,0,0,2,22,0,1,6,54,1
0377_01,1,0,0,63,0,0,2,15,1
0378_01,1,0,0,18,0,0,1,11,1
0378_02,1,1,0,21,0,1,1,11,1
0378_03,1,0,2,79,0,0,1,11,1
0378_04,1,1,2,56,0,1,1,11,1
0378_05,1,1,2,13,0,1,1,11,1
0378_06,1,0,2,33,0,0,1,11,1
0378_07,1,1,2,32,0,1,1,11,1
0379_01,0,0,2,31,0,1,6,63,0
0380_01,1,1,0,26,0,1,5,82,1
0381_01,1,1,0,18,0,1,1,16,0
0381_02,1,1,0,38,0,1,1,16,0
0382_01,0,0,2,23,0,0,6,64,0
0383_01,0,0,2,28,0,0,6,55,1
0383_02,0,1,1,34,0,0,6,55,1
0384_01,0,0,0,0,0,1,6,56,1
0384_02,0,0,2,14,0,1,6,56,1
0385_01,0,0,2,23,0,0,6,65,0
0387_01,0,1,2,49,0,0,6,66,0
0388_01,0,1,2,14,0,0,6,57,1
0389_01,0,0,2,18,0,0,4,23,0
0391_01,1,0,1,27,1,1,2,9,0
0392_01,0,0,2,48,0,0,4,24,0
0395_01,1,0,0,31,1,0,1,17,0
0395_02,1,0,0,61,0,0,1,17,0
0396_01,0,1,2,18,0,1,6,59,1
0397_01,2,1,2,45,0,1,5,69,1
0398_01,2,0,2,22,0,0,3,13,1
0401_01,2,0,2,30,1,0,3,14,1
0401_02,2,0,2,30,0,0,3,14,1
0402_01,0,1,0,32,1,1,3,15,1
0403_01,2,0,2,43,1,1,3,13,0
0405_01,0,0,0,17,0,0,5,89,0
0407_01,0,0,2,23,0,0,6,69,0
0407_02,0,0,2,20,0,0,5,90,0
0407_03,0,1,2,39,0,0,6,69,0
0408_01,2,0,2,35,0,0,4,25,0
0409_01,2,0,2,31,0,0,5,71,1
0410_01,0,0,0,21,0,0,5,72,1
0411_01,0,0,2,16,0,0,5,91,0
0412_01,1,0,2,60,0,1,2,11,0
0413_01,0,0,2,18,0,0,5,92,0
0415_01,0,1,2,42,0,0,6,60,1
0417_01,1,1,0,68,0,1,1,18,0
0417_02,1,0,0,22,0,0,1,18,0
0417_03,1,1,2,59,0,1,1,18,0
0423_01,1,0,2,27,0,1,1,19,0
0425_01,2,0,2,37,0,0,5,96,0
0425_02,2,1,2,3,0,1,5,96,0
0425_03,2,1,2,31,0,1,5,96,0
0427_01,1,0,2,31,0,1,4,26,0
0428_01,1,0,2,29,0,1,2,16,1
0429_01,1,0,0,20,0,1,0,5,1
0429_02,1,1,0,46,0,1,0,5,1
0430_01,0,0,2,29,0,1,5,75,1
0431_01,2,1,2,43,0,1,5,97,0
0432_01,2,0,2,17,0,0,5,76,1
0433_01,1,0,0,27,0,1,1,20,0
0433_02,1,0,2,47,0,0,1,20,0
0434_01,2,1,2,45,0,1,5,77,1
0435_01,0,1,2,17,0,1,6,62,1
0436_01,0,0,0,10,0,1,6,63,1
0436_02,0,0,1,56,0,0,6,63,1
0437_01,0,0,2,39,0,0,5,78,1
0437_02,0,0,1,40,0,0,5,78,1
0438_01,1,1,2,40,0,1,1,13,1
0439_01,1,0,0,34,0,0,2,13,0
0441_01,0,0,0,32,0,0,5,79,1
0442_01,0,0,2,35,0,0,5,98,0
0444_01,2,0,2,32,1,0,3,15,0
0444_02,0,0,2,26,1,0,5,99,0
0445_01,0,0,2,25,0,0,5,80,1
0445_02,0,0,2,26,0,0,4,25,1
0446_01,1,1,0,22,0,1,1,21,0
0447_01,0,0,2,22,0,1,5,81,1
0448_01,0,0,2,24,0,0,4,27,0
0448_02,0,1,1,32,0,1,6,71,0
0449_01,0,1,2,11,0,1,6,64,1
0452_01,2,1,2,22,0,1,4,26,1
0453_01,1,1,2,19,0,1,1,14,1
0453_02,1,1,0,34,0,1,5,82,1
0453_03,1,1,2,74,0,1,1,14,1
0454_01,1,0,0,28,1,1,1,15,1
0454_02,1,1,2,42,0,1,1,15,1
0454_03,1,1,2,43,0,1,1,15,1
0456_01,0,0,2,55,0,0,5,83,1
0457_01,0,0,1,19,0,1,6,72,0
0457_02,0,1,2,6,0,0,6,72,0
0457_03,0,0,2,7,0,0,6,72,0
0458_01,1,1,0,28,0,1,3,16,1
0459_01,0,0,2,15,0,0,5,84,1
0460_01,0,1,1,24,0,1,6,65,1
0461_01,0,0,1,31,0,1,4,27,1
0461_02,0,0,2,22,0,1,5,85,1
0461_03,0,0,0,1,0,1,6,66,1
0462_01,0,1,2,50,0,0,6,67,1
0463_01,2,0,2,34,0,0,5,100,0
0463_02,2,0,2,14,0,0,5,100,0
0465_01,0,0,2,19,0,0,4,28,0
0465_02,0,0,2,27,0,1,4,28,0
0466_01,0,0,2,36,0,0,5,101,0
0468_01,0,1,2,34,0,0,5,82,1
0470_01,2,1,0,25,0,1,5,86,1
0470_02,0,1,2,36,0,1,5,86,1
0471_01,1,0,2,16,0,0,1,22,0
0471_02,1,0,0,30,0,1,1,22,0
0472_01,0,0,1,37,0,0,5,87,1
0474_01,0,1,0,15,0,1,6,69,1
0475_01,0,0,2,36,0,0,4,29,0
0476_01,2,0,1,27,0,0,5,103,0
0476_02,2,1,2,27,0,1,5,103,0
0476_03,2,1,2,12,0,1,5,103,0
0477_01,0,0,2,22,0,0,4,30,0
0480_01,0,0,2,27,0,0,6,74,0
0481_01,0,1,2,13,0,1,6,70,1
0482_01,0,0,2,27,0,0,4,28,1
0482_02,0,0,2,28,0,0,5,88,1
0485_01,1,0,0,21,0,0,1,17,1
0487_01,1,0,2,39,0,0,2,19,1
0488_01,0,1,1,28,0,0,6,76,0
0490_01,0,1,2,14,0,1,6,71,1
0498_01,1,1,0,27,0,1,5,82,1
0498_02,1,1,0,46,0,1,1,18,1
0499_01,2,1,0,27,0,1,5,89,1
0499_02,2,0,2,21,0,0,4,29,1
0500_01,2,0,0,21,0,1,3,19,0
0501_01,1,0,2,42,0,0,4,32,0
0502_01,2,0,2,22,0,0,5,82,1
0503_01,2,0,2,10,0,1,5,90,1
0503_02,2,0,2,43,0,0,5,90,1
0503_03,2,0,2,42,0,0,4,31,1
0504_01,1,1,0,18,0,1,1,19,1
0504_02,1,1,0,54,0,1,1,19,1
0504_03,1,1,2,24,0,1,1,19,1
0504_04,1,0,2,64,0,0,1,19,1
0504_05,1,1,0,18,0,1,1,19,1
0504_06,0,1,0,53,0,1,1,19,1
0506_01,2,1,2,23,0,1,5,91,1
0507_01,0,0,2,39,0,1,6,74,1
0510_01,1,0,2,59,0,1,2,16,0
0512_01,1,0,0,32,0,1,3,18,1
0512_02,1,1,2,55,0,1,3,18,1
0513_01,0,1,1,21,0,1,6,78,0
0515_01,1,1,2,50,0,1,1,20,1
0516_01,1,0,0,55,0,0,0,6,1
0517_01,0,0,2,27,0,0,5,109,0
0518_01,0,1,2,35,0,1,5,92,1
0519_01,0,1,2,27,0,1,6,77,1
0520_01,0,0,2,55,0,0,6,78,1
0521_01,0,0,2,23,0,1,4,32,1
0522_01,0,0,2,42,0,0,4,33,0
0523_01,0,0,2,35,0,1,4,33,1
0525_01,0,1,2,47,0,1,5,82,1
0527_01,2,0,0,27,0,0,5,93,1
0527_02,2,1,2,34,0,1,5,93,1
0528_01,1,0,2,46,0,0,2,17,0
0529_01,0,1,1,26,0,0,6,81,0
0531_01,0,1,0,1,0,0,6,82,0
0531_02,0,1,0,27,0,1,6,82,0
0533_01,2,0,2,33,0,0,3,21,0
0534_01,1,0,2,34,0,0,1,23,0
0534_02,1,0,2,49,0,0,1,23,0
0537_01,0,0,2,22,0,0,6,83,0
0538_01,0,0,2,28,0,1,5,110,0
0539_01,1,1,2,27,0,1,2,18,0
0539_02,1,1,0,36,0,1,2,18,0
0539_03,0,1,0,30,0,1,2,18,0
0539_04,1,1,2,49,0,1,2,18,0
0539_05,1,0,2,38,0,0,2,18,0
0540_01,2,1,2,31,0,1,5,95,1
0540_02,0,0,2,17,0,0,5,95,1
0542_01,0,0,2,26,0,0,6,84,0
0545_01,0,0,2,23,0,0,5,111,0
0546_01,0,0,0,24,0,0,5,96,1
0547_01,0,0,2,23,0,0,5,97,1
0548_01,0,0,2,24,0,1,4,36,1
0549_01,2,0,1,32,0,1,3,19,1
0549_02,2,1,2,43,0,1,5,98,1
0550_01,0,0,2,23,0,1,5,99,1
0551_01,0,0,2,42,0,0,6,80,1
0552_01,1,1,0,29,0,1,2,21,1
0553_01,1,1,2,40,0,1,2,19,0
0553_02,1,0,2,37,0,1,2,19,0
0555_01,1,1,0,61,0,1,2,20,0
0555_02,1,0,2,33,0,0,2,20,0
0556_01,0,0,2,19,0,1,5,100,1
0559_01,0,0,1,21,0,0,5,102,1
0560_01,0,0,2,4,0,0,6,81,1
0560_02,0,0,1,12,0,1,6,81,1
0560_03,0,0,2,44,0,1,5,103,1
0561_01,0,0,2,22,0,0,6,82,1
0563_01,2,0,0,33,0,0,5,114,0
0564_01,1,1,0,32,0,1,1,24,0
0564_02,1,1,2,28,0,1,1,24,0
0564_03,1,0,2,28,0,0,1,24,0
0565_01,2,0,2,31,0,0,5,115,0
0566_01,2,1,2,13,0,1,4,37,1
0567_01,0,1,2,14,0,1,6,83,1
0568_01,1,0,2,33,0,0,3,20,1
0568_02,1,1,0,27,0,1,3,20,1
0569_01,0,0,2,23,0,1,5,116,0
0570_01,1,0,2,36,1,1,2,22,1
0571_01,1,1,0,22,0,1,2,21,0
0571_02,1,1,2,19,0,0,2,21,0
0571_03,1,1,2,42,0,1,2,21,0
0571_04,1,1,2,30,0,1,2,21,0
0571_05,1,1,0,16,0,1,2,21,0
0571_06,1,0,2,55,0,0,2,21,0
0571_07,1,1,2,55,0,1,2,21,0
0572_01,0,0,2,19,0,0,5,105,1
0573_01,0,0,2,27,0,0,5,117,0
0575_01,1,1,2,18,0,1,4,34,0
0576_01,0,0,2,21,0,0,5,107,1
0577_01,0,0,2,65,0,0,6,86,0
0579_01,0,0,2,55,0,1,5,108,1
0579_02,0,0,2,50,0,0,6,85,1
0580_01,0,1,2,49,0,1,6,87,0
0581_01,0,0,2,22,0,0,4,38,1
0582_01,2,1,2,33,0,1,5,118,0
0583_01,2,1,2,3,0,1,5,109,1
0583_02,2,1,2,0,0,1,5,109,1
0583_03,2,1,2,33,0,1,5,109,1
0585_01,2,1,2,48,0,1,5,120,0
0585_02,2,1,2,5,0,1,5,120,0
0585_03,2,0,2,23,0,0,3,22,0
0586_01,1,1,2,53,0,1,3,23,0
0587_01,2,0,2,18,0,0,5,121,0
0588_01,0,1,1,20,0,0,6,89,0
0589_01,0,0,2,23,0,0,4,35,0
0590_01,0,0,2,48,0,0,6,90,0
0591_01,0,1,1,19,0,0,6,86,1
0593_01,2,0,2,27,0,0,3,24,0
0594_01,0,0,0,9,0,0,6,87,1
0594_02,0,0,2,24,0,0,4,39,1
0596_01,2,0,2,46,0,1,5,123,0
0597_01,0,1,2,23,0,1,6,91,0
0597_02,0,1,2,21,0,0,6,91,0
0598_01,0,1,2,19,0,0,6,89,1
0599_01,2,0,2,0,0,1,5,124,0
0599_02,2,0,2,4,0,1,5,124,0
0599_03,2,0,2,26,0,0,5,124,0
0599_04,2,1,2,9,0,1,5,124,0
0600_01,1,0,2,24,0,1,2,23,1
0602_01,2,1,2,24,0,1,5,125,0
0602_02,2,0,2,25,0,0,4,36,0
0602_03,2,1,2,21,0,1,5,125,0
0603_01,0,0,2,21,0,0,5,126,0
0607_01,1,0,2,37,0,0,2,22,0
0607_02,1,0,0,44,0,0,2,22,0
0607_03,1,0,2,43,0,0,2,22,0
0608_01,0,0,2,7,0,1,6,94,0
0609_01,2,0,2,33,0,0,5,128,0
0610_01,0,0,2,24,0,0,5,129,0
0611_01,0,1,1,31,0,1,6,90,1
0612_01,1,1,2,27,1,1,1,25,0
0614_01,0,0,2,34,0,1,6,91,1
0615_01,0,1,2,58,0,0,6,92,1
0615_02,0,0,2,7,0,1,6,92,1
0615_03,0,1,0,3,0,1,6,92,1
0618_01,0,0,0,21,0,1,6,95,0
0618_02,0,0,1,21,0,0,5,131,0
0619_01,1,1,2,39,0,1,2,24,1
0619_02,1,1,0,43,0,1,2,24,1
0623_01,0,1,2,22,0,1,6,93,1
0628_01,0,0,2,44,0,1,5,133,0
0629_01,0,0,2,38,0,0,6,96,0
0630_01,2,1,2,32,0,1,5,112,1
0631_01,2,1,2,55,0,1,5,113,1
0633_01,2,0,1,31,1,0,3,25,0
